oclc,authorName,authorDates,ENDFullTitle,pubLocationStatement,pubDateTranscribed,format,formatStatement,generalNotes,paratextTitleControlled,paratext,epigraphBoolean,narrativeFormPrimary,narrativeFormAdditional,nonProseForms,inscriptionBoolean,marginaliaBoolean,translationClaimControlled,titleOtherWorks,titleNouns,titleAdjectives,titlePlaces,titleNames,titleVerbs,titleObjects,titleAdverbs,catalogedBy,Column,Column 29,Column 30,Column 31
341441,"Palmer, Charlotte,",fl. 1780-1797.,History of Miss Belville,London,1780,Octavo,,,"Advertisement, Errata","Explains that work was written by the late author in her youth and is now being published by another female (e.g. ""The volumes now submitted to the world, were written by a female, who is, alas, no more; and are now published by an editor of her own sex..."")",0,Epistolary,,Verse,1,1,,,"Stability, History, Miss, Series, Letter","Female, Late",,"Miss Belville, Miss Palmer",,Letter,,AFD 06/21/2011,,,,
341442,"Briscoe, Sophia,",fl. 1771.,The fine lady a novel by the author of Miss Melmoth. In two volumes. Vol. I.,London,1772,Duodecimo,In two volumes.,"Published anonymously.  ""Miss Melmoth, or the new Clarissa"" is by Sophia Briscoe.  Cf. Halkett & Laing (2nd ed.), An epistolary novel., Advertisements: v. 2, 6 p. at end.",,,1,Epistolary,,,1,0,,,"Lady, Novel, Author, Miss, Volume",Fine,,Miss Melmoth,,Novel,,AFD 06/06/2011,,,,
341443,"Brooke, Henry,",1703?-1783.,"The fool of quality; or, the history of Henry Earl of Moreland. By Mr. Brooke. In four volumes. Vol. I. A new edition, greatly altered and improved.",London,1776,Duodecimo,In four volumes.,Novel.,"Dedication, To the reader, Preface","Begins as dialogue between authorial voice and another voice, which is that of a party interested in the role of the dedication, Scoffs at dedicatory tradition (e.g. ""'But, then, there is a manner in doing things, you know.' No, sir, it is no business of mine. Mr. Pitt is the patron of my patron: let my patron then dedicate to him...It is nothing to me; neither will I say a syllable more about the matter.""), Authorial voice addresses the public as ""your respectableness,"" and discusses the role of the dedication from his perspective as an author and considers the public's perspective as reader, Discusses function of dedication while playing with its form (e.g. ""Your respectableness, perhaps, hath not duly perpended the travail, the toil, the marvellous drudgery, the muck that dedicators are obliged to pass through, and the fences of truth over which they must break, to cull, select, and sublimate an offering fit to lay upon the altar of adulation.""), Describes how he has changed his writing in order to reflect public trends and desires (e.g. ""I once proposed to build your happiness on religion, on Christian piety, and a deep sense of duty; but having in vain fought a foundation whereon I might lay the first stone, the superstructure vanished like the clouds of last September."", Challenges assumption that the needs/wants of the public should be the primary force acting upon the shaping of the novel (e.g. ""May your dignity, I replied, continue to be blessed with writers duly levelled to the taste of the reader; with the politicks of court hirelings, the poetry of laureats, the divinity of a H-----y; with bawdry from the Fleet, with fragments from the Kennel of Grubstreet, with the strumpet Biography, with W----- upon Grace, with treatises on ----- ------, and episcopal essays on spirit! I trust my patron, in recompence for a long life spent in his service, will pardon me the dropping of one observation. --Nay, don't look disgusted,---it is no matter of great offence, it nothing more than this: that the nose of your Respectableness hath ever been a ready handle for the leading of a FOOL, and a fool shall accordingly attend you on my next visit.""), Reflects upon function of preface (e.g. ""I hate prefaces. I never read them, and why should I write them? They stand like pales about a park; I always overleap them, if I am told there is any thing, within, worth seeing. But, what can I do? I am likely to lead a fine life with this performance, when people begin to quarrel with me, upon reading the first word, of the first page, of my work.""), Authorial voice speaks to readers, as in dedication (e.g. ""Here then, begin. And pray, let me have your remarks, unpremeditated, as you proceed. I will answer you, as whim or judgment shall happen to dictate."")",0,Third-person,,,1,0,,,"Fool, Quality, History, Earl, Mr., Volume, Edition","New, Greatly, Altered, Improved",Moreland,"Henry Earl of Moreland, Mr. Brooke",,,,AFD 06/13/2011,,,,
341445,,,The French convert.,London :,1775,Duodecimo,,"Preface ""The copy of a letter sent from a French Protestant minister in France, to his friend in London ..."", Apparently rebound without a title page., Described by CBEL as fiction, with the author presumably pseudonymous ; erroneously attributed to Daniel Defoe and to John McGowan., Advertisements: [6] p. at end., The beginning of the text serves as an introduction: ""In writing the following relation...I shall not study to adorn my stile....As an introduction to which, I will a little consider...",Preface,,0,Third-person,"First-person, Epistolary",,0,0,,,"Convert, Relation, Conversion, Lady, Error, Superstition, Popery, Religion, Gardener, Servant","French, True, Happy, Noble, Reformed, Protestant, Her",,,,,,MJR 6/10/11,,,,
341446,,,"The friends; or, original letters of a person deceased. Now first published, from the manuscripts, in his correspondent's hands. In two volumes. Vol. I.",London :,1773,Duodecimo,In two volumes.,"Footnote of interest relating to the editing of original texts(p. 70, first volume): ""But...I own I agree with our author...Had he been the poet of what he called the original one above, why should he have altered it for the worse, in so many passages? One must naturally suspect that there must have been some reason for varying, or disguising the text.""  Vol. 2 contains, starting on page 67, ""Some thoughts on various subjects"" - a collection of proverb-like musings akin to ""Serious reflections of Robinson Crusoe.","Errata, To the reader","On back of title page of both volumes, Describes the process of coming into possession of these letters, the process of editing them, etc., References the title of the work: ""I have added the denomination of the Friends, to the title of these writings, as there is...",1,Epistolary,Third-person,Poems,0,0,,,"Friend, Letter, Person, Manuscript, Correspondent, Hand, Volume","Original, Deceased, His, Two",,,Publish,"Letter, Manuscript",First,MJR 6/7/11,,,,
341447,"Chiari, Pietro,",1711?-1785.,The generous lover: or the adventures of the Marchioness de Brianville. In three volumes. Translated from the original Italian of the Abbé Pietro Chiari. Vol. I.,London,1771,Duodecimo,In three volumes.,"Glued to front pastedown of all three volumes is a 19th century advertisement that reads: ""This Book belongs to J. B. Nash's New Circulating Libray, Which contains upwards of 6000 volumes, Bookseller and Stationer, Holywell Hill, St. Alban's, Herts. ... Magazines, Periodical Publications, &c. regularly served. Book-Binding, Picture Framing, &c. Executed in the neatest manner. Books, Prints, and Maps, On Reasonable Terms. Conditions for Subscribing. Yearly ... 2£ 2s. 2d. Half Yearly ... 1£ 2s. 0d. Quarterly ... 12s. 0d. Monthly ... 4s. 0d. Occasional Readers according to the size and value of the work. Subscriptions to be paid at the time of Subscribing. It is requested that all Books may be sent home as soon as read. ... Agent to the County Herald and County Chronicle Newspapers. Agent to the London Genuine Tea Company. Dealer in Fancy Snuffs, Tobacco and Cigars.","Table of contents, Table of contents, Table of contents","To each chapter is appended a brief description, Running title for this section is ""Contents."", To each chapter is appended a brief description, Running title for this section is ""Contents."", To each chapter is appended a brief description, Running title for this section is ""Contents.",0,First-person,,,0,0,Translation,,"Lover, Adventure, Marchioness, Volume, Italian, Abbé, Vol.","Generous, Three, Original",,"Marchioness de Brianville, Abbé Pietro Chiari",Translate,,,AFD 6/1/11 Swarthmore College,,,,
341448,Authoress of Evelina.,,Harcourt; a sentimental novel. In a series of letters. By the authoress of Evelina. Vol. I.,Dublin,1780,,,"The Authoress of Evelina is Fanny Burney, but the attribution of this work to her is doubtful. Cf. Grau, J.A. Fanny Burney, p. 21.",,,0,Epistolary,,Verse,0,0,,,"Novel, Series, Letter, Authoress, Evelina",Sentimental,Harcourt,Evelina,,Letter,,AFD 06/21/2011,,,,
341450,,,The history of Miss Harriot Montague.,London,1760,Duodecimo,In two volumes.,"Date of publication taken from t. p. of v. 2., Vol. 1: [4], 208 p.; v. 2: [4], 204, [4] p., Vol. 1 has date of publication as 1760, but this appears to be a typo - Van Pelt library puts the true publication date as 1770, and this is the publication date in Vol. 2, which is bound identically and appears to have been published simultaneously.",,,0,Third-person,,,0,0,,,"History, Volume",,,Miss Harriot Montague,,,,NA 5/20/11 Swarthmore College,,,,
341452,"Johnstone, Charles,",1719?-1800?,"The history of Arsaces, Prince of Betlis. [Epigraph.] By the editor of Chrysal. In two volumes. Volume I.",Dublin,1775,Duodecimo,In two volumes.,"Vol. 1: 1775; v. 2: 1774. Probable printing error in v.1; Penn has publication date listed as 1774., Cf. English novel, 1770-1829, 1774:30, Notes, for reference to this work.","Dedication, Preface, Table of contents, Table of contents","Interesting dialectic going on here--full transcription: ""My Lord, I Must not make any Apology for claiming your Lordship's Patronage for the following Work. It is a Claim of Right. The Spirit of it is your own. I caught it by long and close Attention to your Lordship; and now that it is let loose into the World, it naturally flies back to its Parent for Protection. If I have been so happy as to make the Body worthy of such a Spirit, that is all the Merit I pretend to."", Signed ""Charles Johnston."", Dated ""May 17, 1774."", Gives reasoning for including a preface (e.g. ""In this enlightened age, when men judge intuitively of all things, it may not be improper to say a few words concerning the following work, if only to save critical sagacity from the misfortune of being led astray by the title"")., Reveals authorial aims (e.g. ""To wipe off the false colourings of prejudice, and shew truth in her native purity, is the writer's aim""); vis-a-vis fictionality, referentiality (the author ""has endeavoured to draw the universal manners of Nature, which suit all climes and ages. Greater particularity would have been only pedantry""--cf. epigraph)., Brief description appends each section heading, Brief description appends each section heading",1,First-person,Third-person,,1,0,,,"History, Prince, Editor, Chrysal, Volume",,,"Arsacles, Prince of Betlis",,,,AFD 06/08/2011 Swarthmore College,,,,
341454,"Author of Frederick, or, The fortunate beggar.",,"The history of Lord Ashborn, and the honourable Miss Howe; or, the reclaimed libertine. In three volumes. By the author of Frederick, or the fortunate beggar. Vol. I.",London,,Duodecimo,In three volumes.,"Date of publication taken from Block, A.  Engl. novel, p. 107., Vol. 1: vii, [1], 192 p.; v. 2: [2], 212 p.; v. 3: [2], 211, [5] p., Advertisements on p. [1]-[5] (3rd. count) of v. 3.",Preface,"Discusses the form and function of the novel and the relationship between the two (e.g. ""A novel is only a picture of real life, or a copy of human nature, drawn in the same manner as it presents itself to our senses. If it is faithfully drawn, none can find fault with it, because it is true; but if any thing is beyond common probability, it is monstrous, and deserves no better treatment than the stories in Popish Legends, or the History of the Seven Champions of Christianity. The Authoress of this work had nothing further in view, than to represent human nature as it is, and point out what it should be."")",0,,,,1,0,,,"History, Lord, Miss, Libertine, Volume, Author, Beggar","Honourable, Reclaimed, Fortunate",,"Lord Ashborn, Miss Howe, Frederick",,,,AFD 06/07/2011 Swarthmore College,,,,
341455,,,,London :,1784,,,"An epistolary novel., Vol. 1: xii, 227, [1] p.; v. 2: [4], 236 p.; v. 3: 224, [4] p., Advertisements on last p. of v. 1 and p. [1]-[4] at end of v. 3.",,,0,,,,0,0,,,,,,,,,,,,,,
341457,"Haywood, Eliza Fowler,",1693?-1756.,The history of Miss Betsy Thoughtless. By Mrs. Haywood. In four volumes.,London :,1783,Octavo,In four volumes. (The history of Miss Betsy Thoughtless.),"Text is in two columns., Paged continuously: [2], 312 p., 8 leaves of plates., The plates for The history of Miss Betsy Thoughtless are engraved by Stothard., The plates for The history of Ophelia are engraved by Corbould., Also issued as vol. XIII [no. 1] of the Novelist's magazine with added t.p., engr.","Advertisement, Introduction","The history of Ophelia., Explains how this work was found and was published, Debates the fictionality of the novel: describes how the novel must be ""a work of fancy,"" yet ""contains many incidents that bear so much the appearance of reality, that they might claim some share of our belief."", Describes the novel as ""well calculated for instruction as amusement."", The history of Ophelia., Authorial, Addressed to ""your ladyship""., Explains, vaguely, the circumstances in which the novel was written: the introduction begins, ""Your ladyship had little compassion...when you desired me to write you an exact account of every circumstance of my life..."", Calls the novel ""my history of myself.",0,"Third-person, First-person","First-person, Letters, Letters","Poems, Songs",0,0,,,"History, Miss, Mrs., Volume, History, Miss, Volume","Thoughtless, Four, Two",,"Miss Betsy Thoughtless, Mrs. Haywood, Ophelia, Miss Fielding",,,,MJR 6/27/11,,,,
341458,Author of Lucinda Courtney.,,"The history of Miss Lucinda Courtney; in a series of letters; written by herself, to her friend Miss Constantia Bellmour. A new edition. In three volumes. Vol. I.",London :,1773,Duodecimo,In three volumes.,"Advertisements: v. 3, [7] p. at end.",Introduction,"The primary purpose of the introductory letter to Lady L-- is ""to give...a short sketch of"" the following letters' ""amiable writer"" (p.3).  Introduction mentions Miss Courtney ""reading more than is usual"" (p.8).",0,Epistolary,,"Songs, Poems",0,1,,,"History, Miss, Series, Letter, Herself, Friend, Edition, Volume","New, Three",,"Miss Lucinda Courtney, Miss Constantia Bellmour",Write,Letter,,MJR 6/7/11,,,,
341460,,,The history of Peggy Black and Wilmot Bond. Volume I.,Dublin :,1784,Duodecimo,,"Novel., The ""illustrations"" consist of two small images printed within the text.",Introduction,In verse.,1,Third-person,"First-person, Letters","Poems, Theatrical dialogue",1,0,,,"History, Volume",,,"Peggy Black, Wilmot Bond",,,,MJR 6/30/11,,,,
341461,"Day, Thomas,",1748-1789.,"The history of Sandford and Merton, a work intended for the use of children. Vol. III.",London,1789,Duodecimo,,"By Thomas Day., Vol. [1]: vii, [1], 215, [1] p. ; v. 2: [2], 306, [4] p., [1] leaf of plates; v. 3: [4] (second leaf blank), 308, [4] p., [1] leaf of plates., Frontispiece in vol. 2 signed: M. Browne del. W. Skelton sculp.; in vol. 3: T. Stothard delt. T. Medland sculpt., Booklist on p. 306 and p. [1]-[4] at end of vol. 2; and on p. [1]-[4] at end of vol. 3., Only vol. 3 available",,,1,Third-person,,,1,0,,,"History, Work, Use, Children",,,"Sandford, Merton",Intend,,,AFD 06/28/2011,,,,
341462,"Isla, José Francisco de,",1703-1781.,The history of the famous preacher Friar Gerund de Campazas: otherwise Gerund Zotes. Translated from the Spanish. In two volumes. Vol. I.,London :,1772,Octavo,In two volumes.,"The author is identified in the ""Advertisement"" as Joseph Francis Isla., Dedication signed by Francisco Lobon de Salazar, pseudonym used by José Francisco de Isla.  Cf. Rogers & Lapuente. Seudónimos literarios españoles, p. 271., Translation into English of: Historia del famoso predicador fray Gerundio Campazas, alias Zotes., Translated, and slightly abridged, by Thomas Nugent. Cf. Palau. ESTC, A novel satirizing the Spanish clergy and religious orders., Errata on vol. 1, verso of leaf 4, and vol. 2 at end.","Advertisement, Errata, Errata, Dedication, Preface","Recounts the history of the writing and publication of the original Spanish work, After main text, an italicized sentence that reads ""Mr. Baretti's proposal for publishing by subscription a complete edition in Spanish of the historia del Fray Gerundio, &c."", Underneath this sentence, an italicized paragraph about the omission of ""censurable passages"" in the English translation., Addressed to ""Most mighty sir,..."", 73 pages, from p. 9-83 (B5r-G1v), ""Look ye, my good sir, a Friar Gerund of Campazas, with this very name, there is not, there never was, and in all probability, there never will be"" (p.10-11)., Written in the first-person and presumably by the original Spanish author.",0,Third-person,First-person,Poems,1,1,Translation,,"History, Preacher, Friar, Spanish, Volume","Famous, Two",Campazas,"Gerund de Campazas, Gerund Zotes",Translate,,Otherwise,MJR 6/10/11,,,,
341463,,,The history of the Miss Baltimores; in a series of letters. Vol. I.,London :,1783,Duodecimo,,An epistolary novel.,,,0,Epistolary,,,1,0,,,"History, Miss, Series, Letter",,,Miss Baltimore,,Letter,,AFD 06/28/2011,,,,
341465,"Cervantes Saavedra, Miguel de,",1547-1616.,"The history of the renowned Don Quixote de la Mancha. Being an accurate, complete, and most entertaining narrative of the wonderful atchievements of that incomparable hero and knight-errant; from his first great pursuit after fame immortal, till the close of his celebrated career: including, minutely, every curious incident attending his faithful squire and servant, Sancho Panza. Interspersed with ludicrous dialogues, rhapsodies, madrigals, and serenades. The whole replete with infinite humour and drollery. Translated from the original Spanish of Miguel de Cervantes Saavedra. By Charles Henry Wilmot, esq. In two volumes. Vol. I.",London :,,Quarto,In two volumes.,,"Introduction, Preface, About the author, Preface, Subscribers' list, Official note, Directions to the binder, Footnote","With such universal estimation and applause hath the celebrated History of Don Quixote de la Mancha, been received by the polite and literary world; that it is presumed, a new faithful translation of so ingenious and admirable a performance, cannot fail of being honored with that generous encouragement which an indulgent public seem ever ready to bestow upon productions of real merit."", ""...an entire new translation of The history and atchievements of the renowned Don Quixote will now be published in weekly numbers, in order that a source of such exquisite amusement may be obtained at an easy method of purchase."", Seems to be claiming to have been written by Cervantes/the ""true"" author of the text., ""Reader! whoever thou art!...how impatiently must thou have waited for this prefatory address, in expectation of seeing it filled with invective and reproach against the author of the second Don Quixote..."", Ends with an advertisement: ""...I have almost finished my Persiles, which thou mayst soon expect to see, and with it the second part of Galatea."", Written in the third-person, but refers to Cervantes occasionally as ""our author,"" ""our amiable Spaniard""., Describes the process of writing the preface: ""...for, be assured, though the writing of my book has been attended with some trouble, I have found more in writing this preface. Often did I seize the pen, and as often throw it from me because I knew not what to say..."", According to the preface, a friend of Cervantes reminded him that his ""whole aim is to defeat the authority, and expose the absurdity of those romantic histories..."", A note about the translation, ""The translator has endeavored to adhere, with a proper attention, to the genius of his author..."", On recto of the back free endpaper, Directions regarding the copper-plates/engravings and list of certain pages and scenes., Occasional, both volumes, text, paratext.",1,Third-person,"First-person, Letters",Poems,0,0,Translation,,"History, Don, Narrative, Achievement, Hero, Knight-errant, Pursuit, Fame, Close, Career, Incident, Squire, Servant, Dialogue, Rhapsody, Madrigal, Serenade, Whole, Humour, Drollery, Spanish, Esq., Volume","Renowned, Accurate, Complete, Entertaining, Wonderful, Incomparable, His, Great, Immortal, Celebrated, Every, Curious, Faithful, Ludicrous, Replete, Infinite, Original, Two",la Mancha,"Don Quixote de la Mancha, Sancho Panza, Miguel de Cervantes Saavedra, Charles Henry Wilmot, esq.","Be, Include, Attend, Intersperse, Translate",,"Most, First, Minutely",MJR 6/8/11 Swarthmore College,,,,
341466,"Chater, John.",,The history of Tom Rigby. In three volumes. Vol. I.,London,1733,Duodecimo,In three volumes.,"Published anonymously. By John Chater. Cf. BM; Halkett & Laing (2nd ed.), On front pastedown of first volume, pencilled note that reads ""John Chater,"" most likely librarian's note., Vol. 1 has imprint date 1733, an error for 1773., No discernible authorship claim, the only mention of authorship or creation being ""But, gentle reader...it is not the presumptuous intention of these pages to attempt so exquisite a gratification for you. To much more humble scenes will you be led, if not determined to return this volume, without reading it, to the shelf of oblivion--or to the circulating library, which can furnish you with an hundred in its stead..."" (p.2).",,,0,Third-person,"First-person, Letters",,1,0,,,"History, Volume",Three,,Tom Rigby,,,,MJR 6/8/11 Swarthmore College,,,,
341467,"Smollett, Tobias George,",1721-1771.,The expedition of Humphry Clinker. Vol. I.,London,1671,Duodecimo,In three volumes.,"v.1 title page misprint: 1671 (""MDCLXXI"") instead of 1771 (""MDCCLXXI"").","Letter, Letter","Authentic actorial; fictional character Jonathan Dustwich appeals to a fictional bookseller to publish a private correspondance., Authentic actorial; this is the bookseller's response to ""To Mr. Henry Davis...",1,Epistolary,,,1,0,,,"Expedition, Author, Volume",Three,,"Humphry Clinker, Roderick Random",,,,AFD 5/26/11 Swarthmore College,,,,
341468,,,"The husband's resentment; or, the history of Lady Manchester. A novel. In two volumes. Vol. I.",London,1776,Duodecimo,In two volumes.,"Vol. 1: [4], 224 p.; v. 2: [4], 236 p., Signatures: v. 1, [A]2 B-K12 L4; v. 2, [A]2 B-K12 L10., Bookseller's advertisements (with prices): v. 2, p. [224]-236.",,,0,Epistolary,,,1,0,,,"Husband, Resentment, History, Lady, Novel, Volume",,,Lady Manchester,,,,AFD 06/13/2011,,,,
341469,"Marmontel, Jean François,",1723-1799.,"The Incas: or, the destruction of the empire of Peru. By M. Marmontel. In two volumes. Vol. I.",Dublin :,1777,Duodecimo,In two volumes.,"Translation of Les Incas, ou, la destruction de l'empire du Pérou.","Preface, Table of contents, Table of contents","Authorial, Gives a brief history of the Spanish invasion of the Americas and the author's reasons for writing this narrative., Comments on the ambiguous genre of the work: ""As to the form of this work, considered as a literary production, I must confess I am rather at a loss what account to give of it. There is too much truth in it for a mere romance, at the same time that there is too much fiction to admit of its being stiled a history. I certainly do not pretend to dignify it with the title of a poem....It is therefore not so properly a mere fable, as a kind of simple narrative, of which the ground-work is all along historical, interspersed only with a few such fictions as are not inconsistent with those parts of it that are true"" (p. xix)., Contains copious footnotes, and footnotes to other footnotes., Contains short descriptions of each chapter., Contains short descriptions of each chapter.",1,Third-person,,,0,0,Translation,,"Inca, Destruction, Empire, M., Volume",Two,Peru,"Inca, M. Marmontel",,,,MJR 6/16/11,,,,
341471,"M'Donald, A.",1755?-1790.,The independent. A novel.,Dublin:,1784,Duodecimo,Two volumes in one.,"Published anonymously. By Andrew M'Donald. Sometimes also attributed to George Monck Berkeley. Cf. Halkett & Laing (2nd ed.); Block, A. Engl. novel, p. 20.","Preface, Table of contents, Table of contents","Discusses how written works, particularly the novel, should promote morality (e.g. ""Almost any writer may extort tears; but every reader will distinguish between the tear of torture and the tear of delight. He will throw away the volum [sic], never more to be lifted...Sensible of this, the author of the following piece has modelled it on a different plan, and held out the violator of matrimonial faith as an object of ridicule."")",1,Third-person,First-person,Verse,0,0,,,"Independent, Novel, Volume, One",,,,,,,AFD 06/28/2011,,,,
341473,Lady.,,An interesting sketch of genteel life. In three volumes.,Southampton,1782,Octavo,In three volumes.,An epistolary novel.,,,0,Epistolary,,,0,0,,,"Sketch, Life, Volume, Lady","Interesting, Genteel",,,,,,AFD 06/27/2011,,,,
341475,"Haywood, Eliza Fowler,",1693?-1756.,The invisibe spy. By Explorabilis. In two volumes. Vol. I. A new edition.,London :,1763,Duodecimo,In two volumes.,"Novel., ""Explorabilis"" is Eliza Haywood.  Cf. Halkett & Laing (2nd ed.), ""Invisible"" is spelled incorrectly on the title page of both volumes., ""Invisible"" correctly spelled on t. p. of v. 2., Within text, under each chapter heading, brief italicized description of the following chapter., Bookplate on front pastedown of first volume with name ""Fredrick Henley"", Underneath bookplate on front pastedown of first volume, there is a pencilled note that reads ""Haywood (Eliza) 2-15-0,"" it is most likely a librarian's note.","Introduction, Introduction, Conclusion, Table of contents, Table of contents","Introduction is a chapter of the main text., ""I think it therefore a duty incumbent on my good-nature to put an early stop to such fruitless inquisitions, and also at the same time to satisfy...the curiosity of the public, by giving an account of the means by which I attained the gift of invisibility I possess"" (p.2)., Introduction to the second volume is a chapter of the text., ""Here, o reader! a total stop is put to my endeavors to oblige thee!"", Contains chapter headings and brief chapter summaries., Contains chapter headings and brief chapter summaries.",0,First-person,"Letters, Third-person","Dramatic dialogue as in a play, Poems",1,1,,,"Spy, Volume, Edition","Invisible, Two, New",,Explorabilis,,,,MJR 6/7/11,,,,
341476,A Lady.,,The Irish guardian. A pathetic story. In two volumes. By a lady. Vol. I.,Dublin,1776,Duodecimo,In two volumes.,"Bookplate on front pastedown of volume two that reads ""Mrs. Richardson.",,,1,Epistolary,,,1,0,,,"Guardian, Story, Volume, Lady, Two","Irish, Pathetic",,,,,,MJR 6/13/11 Swarthmore College,,,,
341477,,,"The Irishman; or, the favourite of fortune: a satirical novel founded upon facts. In two volumes. Vol. 1",London :,,Duodecimo,In two volumes.,,Dedication,"Claims that dedicatee knows the work's central character., Claims to be taken directly from papers given to editor, who changed names to protect those involved., Signed ""The Editor",1,Third-person,,,1,0,,,"Irishman, Favourite, Fortune, Novel, Fact, Volume","Satirical, Two",,,Found,,,NA 6/3/11,,,,
341479,"Cogan, T.",1736-1818.,"John Buncle, junior, gentleman.",London,1776,Duodecimo,,"Ascribed to Thomas Cogan, M.D. cf. Halkett and Laing, v.3, 193., No volume designation on the title pages but bound separately as two volumes","Table of contents, Errata, Errata, Dedication, Errata","On verso of a page; followed by ""Directions to the bookbinder. Paste the errata on the back hereof over former one."" on recto of next page, On verso of page with directions to bookbinder, Included in section called ""Dedications"" but has a running title--""Dedication""--that differentiates it from the rest of the section",1,Epistolary,First-person,Verse,0,0,,,"Junior, Gentleman",,,"John Buncle, Junior",,,,AFD 06/14/2011,,,,
341480,"Johnstone, Charles,",1719?-1800?,"The history of John Juniper, Esq. alias Juniper Jack. Containing the birth, parentage, and education, life, adventures, and character of that most wonderful and surprizing gentleman. By the editor of the Adventures of a Guinea. Vol. I.",London,1781,Duodecimo,,"Novel., The editor of The adventures of a guinea is Charles Johnstone., Vol. 1: [16], 269, [3] p.; v. 2: [4], 257, [1] p. (last page blank); v. 3: [28], 281, [1] p. (last page blank)","Advertisement, Table of contents","Describes how this work will use fiction in order to expose the ""degeneracy"" of the present age (e.g. ""...that though every fact is true, the assemblage which makes the apparent character, is invariably fictitious, and designedly grouped in such a manner, as not to resemble any one person living.""), Brief description appends each chapter heading",1,Third-person,,,0,0,,,"History, Esq., Birth, Parentage, Education, Life, Adventure, Character, Gentleman, Editor, Adventures of a Guinea, Adventure, Guinea","Wonderful, Suprizing, Surprising",,"John Juniper, Esq., Juniper Jack",Contain,Guinea,,AFD 06/22/2011,,,,
341481,,,"The journey to London: or, the history of the Selby-family. Vol. I.",London,1774,Duodecimo,,"Vol. 1: [4], 236 p.; v. 2: [2], 210, [4] p., Volumes bound together, with publishers' advertisement as back matter insert.","Advertisement, Note","Signed F. Noble, J. Noble., Publishers' note to booksellers concerning publishing and sales: ""Whereas, from our having refused to let Mr. Baldwin...have any more of our books, till a reasonable satisfation is made to us, by retracting an impudent falsehood asserted in his magazine...we have sufficient reason to believe, that orders coming from the country to him...will not be complied with...we hereby acquaint all country dealers...that...they will be immediately be supplied at the London prices with any books of our own printing..."", Following signatures, a postscript ""Note"" with additional information., At end of advertisement (following signatures). Additional information concerning publishing and sales.",0,Third-person,,,0,0,,,"Journey, History, Family",,London,Selby,,,,MJR /8/11 Swarthmore College,,,,
341482,"Mackenzie, Henry,",1745-1831.,"Julia de Roubigné, a tale. In a series of letters. Published by the author of the Man of Feeling, and the Man of the World. In two volumes. Vol. I.",London,1777,Duodecimo,In two volumes.,"An epistolary novel., The author of The man of feeling, and The man of the world is Henry Mackenzie., Vol. 1: xii, 195, [1] p. (last page blank); v. 2: vii, [1], 202, [2] p. (last page blank)., Advertisements on p. [1] at end of v. 2.","Errata, Introduction, Advertisement","Considers function of an introduction, more generally and in relation to this work specifically (e.g. ""I have formerly taken the liberty of holding some prefatory discourse with my readers, on the subject of those little histories, which accident had enabled me to lay before them. This is probably the last time I shall make use of their indulgence; and even, if this introduction should be found superfluous, it may claim thier pardon, as the parting address of one, who has endeavoured to contribute to their entertainment.""), Reflects on his experience as a writer (e.g. ""One advantage I drew from it [writing], which the humane may hear with satisfaction; I often wandered from my own woe, in tracing the tale of another's affliction, and, at this moment, ever sentence I write, I am but escaping a little farther from the pressure of sorrow.""), Disavowing authorial; claims these letters were ""found",0,Epistolary,,,1,1,,,"Tale, Series, Letters, Author, Man, Feeling, World, Man of Feeling, Man of the World, Volume",,,Julia de Roubigné,Publish,Letter,,AFD 06/16/2011,,,,
341483,"Mackenzie, Henry,",1745-1831.,"Julia de Roubigné, a tale. In a series of letters. Published by the author of The man of feeling, and The man of the world. In two volumes. Vol. I. The third edition.",London :,1782,Duodecimo,In two volumes.,"An epistolary novel., The author of The man of feeling, and The man of the world is Henry Mackenzie., Vol. 1 dated 1782; vol. 2 dated 1781., Vol. 1: xii, 195, [1] p. (last page blank); v. 2: vii, [1], 202, [2] p. (last page blank)., Advertisements on p. [1] at end of v. 2., Bookplate on front pastedown of both volumes that reads ""D. Webster bookseller Tunbridge Wells books bought.","Introduction, Advertisement","The editor describes how he came into possession of the manuscript and describes the actions he has taken as editor., Self-referential--begins, ""I have formerly taken the liberty of holding some prefatory discourse with my readers, on the subject of those little histories which accident had enabled me to lay before them..."", Uses the introduction to announce that he will not be publishing any future material due to ""age and situation""., Comments on the narrative: ""I had...treated them [the papers sent to the author by a young Frenchman] as I did the letters he mentioned; but I found it a difficult task to reduce them into narrative, because they are made up of sentiment, which narrative would destroy."", ""My readers will easily perceive something particular, in the place where the following letters of Savillon are found, as they are manifestly of a date considerably prior to many of the preceeding..."", ""...it is not so much on story, as sentiment, that their [the letters'] interest with the reader must depend.",0,Epistolary,,,1,1,Translation,,"Tale, Series, Letter, Author, Man, Feeling, World, Volume, Edition","Two, Third",,Julia de Roubigné,Publish,Letter,,MJR 6/23/11,,,,
341484,"Brooke, Henry,",1703?-1783.,History of the human heart,London,1774,Duodecimo,Three volumes in two.,"Vol. 1: 293, [1] p. (last page blank); v. 2: 276 p., Signatures: v. 1, A-2A⁶ 2B⁴ (2B3 verso, 2B4 blank); v. 2, A-Z⁶, Wanting vol. 2",,,0,Third-person,,,1,0,,,"History, Heart, Volume, Mr.",Human,,"Juliet Grenville, Mr. Brooke",,,,AFD 06/08/2011 Swarthmore College,,,,
